"locusName_Version1"	"locusName_Version2"	"locusName_Version3"	"Arabidopsis_homolog"	"Arabidopsis_homolog_symbol"	"Arabidopsis_homolog_defline"	"Rice_homolog"	"Rice_homolog_defline"
"Sb03g002840"	"SORBI_3003G030300"	"Sobic.003G030300"	"AT1G17665.1"	""	""	"LOC_Os01g10080.2"	"expressed protein"
"Sb03g002850"	"SORBI_3003G030400"	"Sobic.003G030400"	"AT1G55140.1"	""	"Ribonuclease III family protein"	"LOC_Os11g13420.1"	"RNA binding protein, putative, expressed"
"Sb03g002870"	"SORBI_3003G030600"	"Sobic.003G030600"	"AT3G13730.1"	"CYP90D1"	"cytochrome P450, family 90, subfamily D, polypeptide 1"	"LOC_Os01g10040.1"	"cytochrome P450, putative, expressed"
"Sb03g002880"	"SORBI_3003G030700"	"Sobic.003G030700"	"AT4G29680.1"	""	"Alkaline-phosphatase-like family protein"	"LOC_Os01g10020.1"	"ectonucleotide pyrophosphatase/phosphodiesterase family member 1, putative, expressed"
"Sb03g002890"	"SORBI_3003G030800"	"Sobic.003G030800"	"AT1G55190.1"	"PRA1.F2,PRA7"	"PRA1 (Prenylated rab acceptor) family protein"	"LOC_Os01g10010.1"	"prenylated rab acceptor, putative, expressed"
"Sb03g002900"	"SORBI_3003G030900"	"Sobic.003G030900"	"AT2G31890.1"	"ATRAP,RAP"	"RAP"	"LOC_Os03g31150.1"	"expressed protein"
"Sb03g002910"	"SORBI_3003G031100"	"Sobic.003G031100"	"AT5G56960.1"	""	"basic helix-loop-helix (bHLH) DNA-binding family protein"	"LOC_Os01g09990.1"	"helix-loop-helix DNA-binding domain containing protein, expressed"
"Sb03g002930"	"SORBI_3003G031400"	"Sobic.003G031400"	"AT5G11890.1"	""	""	"LOC_Os01g09880.1"	"harpin-induced protein 1 domain containing protein, expressed"
"Sb03g002935"	"SORBI_3003G031500"	"Sobic.003G031500"	"AT5G56880.1"	""	""	"LOC_Os01g09870.1"	"expressed protein"
"Sb03g002940"	"SORBI_3003G031600"	"Sobic.003G031600"	"AT5G45470.1"	""	"Protein of unknown function (DUF594)"	"LOC_Os10g11310.1"	"expressed protein"
"Sb03g002940"	"SORBI_3003G031600"	"Sobic.003G031600"	"AT5G45470.1"	""	"Protein of unknown function (DUF594)"	"LOC_Os10g11310.2"	"expressed protein"
"Sb03g002950"	"SORBI_3003G031700"	"Sobic.003G031700"	"AT5G56890.1"	""	"Protein kinase superfamily protein"	"LOC_Os01g09860.1"	"retrotransposon protein, putative, unclassified, expressed"
"Sb03g002970"	"SORBI_3003G031900"	"Sobic.003G031900"	"AT5G11930.1"	""	"Thioredoxin superfamily protein"	"LOC_Os01g09830.1"	"OsGrx_A2 - glutaredoxin subgroup III, expressed"
"Sb03g002980"	"SORBI_3003G032000"	"Sobic.003G032000"	"AT1G64280.1"	"ATNPR1,NIM1,NPR1,SAI1"	"regulatory protein (NPR1)"	"LOC_Os01g09800.1"	"BTBA1 - Bric-a-Brac,Tramtrack, Broad Complex BTB domain with Ankyrin repeat region, expressed"
"Sb03g002990"	"SORBI_3003G032200"	"Sobic.003G032200"	"AT2G26180.1"	"IQD6"	"IQ-domain 6"	"LOC_Os01g09790.1"	"IQ calmodulin-binding motif domain containing protein, expressed"
"Sb03g003030"	"SORBI_3003G033300"	"Sobic.003G033300"	"AT5G39200.1"	""	""	"LOC_Os01g09730.2"	"expressed protein"
"Sb03g003060"	"SORBI_3003G033700"	"Sobic.003G033700"	"AT3G57360.1"	""	""	"LOC_Os09g32700.1"	"expressed protein"
"Sb03g003070"	"SORBI_3003G033900"	"Sobic.003G033900"	"AT4G26200.1"	"ACS7,ATACS7"	"1-amino-cyclopropane-1-carboxylate synthase 7"	"LOC_Os01g09700.1"	"aminotransferase, classes I and II, domain containing protein, expressed"
"Sb03g003080"	"SORBI_3003G034000"	"Sobic.003G034000"	"AT5G56750.1"	"NDL1"	"N-MYC downregulated-like 1"	"LOC_Os01g09670.1"	"pollen-specific protein SF21, putative, expressed"
"Sb03g003090"	"SORBI_3003G034100"	"Sobic.003G034100"	"AT1G19980.1"	""	"cytomatrix protein-related"	"LOC_Os04g02680.1"	"expressed protein"
"Sb03g003100"	"SORBI_3003G034300"	"Sobic.003G034300"	"AT5G56840.1"	""	"myb-like transcription factor family protein"	"LOC_Os01g09640.1"	"Myb transcription factor, putative, expressed"
"Sb03g003110"	"SORBI_3003G034400"	"Sobic.003G034400"	"AT4G29190.1"	""	"Zinc finger C-x8-C-x5-C-x3-H type family protein"	"LOC_Os01g09620.2"	"zinc finger/CCCH transcription factor, putative, expressed"
"Sb03g003120"	"SORBI_3003G034500"	"Sobic.003G034500"	"AT2G36890.1"	"ATMYB38,BIT1,MYB38,RAX2"	"Duplicated homeodomain-like superfamily protein"	"LOC_Os01g09590.1"	"myb-like DNA-binding domain containing protein, putative, expressed"
"Sb03g003130"	"SORBI_3003G034600"	"Sobic.003G034600"	"AT2G25880.1"	"AtAUR2,AUR2"	"ataurora2"	"LOC_Os01g09580.2"	"CAMK_CAMK_like_Aur_like.1 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
"Sb03g003140"	"SORBI_3003G034700"	"Sobic.003G034700"	"AT4G26270.1"	"PFK3"	"phosphofructokinase 3"	"LOC_Os01g09570.1"	"6-phosphofructokinase, putative, expressed"
"Sb03g003170"	"SORBI_3003G035100"	"Sobic.003G035100"	"AT4G29230.1"	"anac075,NAC075"	"NAC domain containing protein 75"	"LOC_Os01g09550.1"	"no apical meristem protein, putative, expressed"
"Sb03g003180"	"SORBI_3003G035400"	"Sobic.003G035400"	"AT3G16490.1"	"IQD26"	"IQ-domain 26"	"LOC_Os01g09470.1"	"IQ calmodulin-binding motif family protein, expressed"
"Sb03g003190"	"SORBI_3003G035500"	"Sobic.003G035500"	"AT4G29130.1"	"ATHXK1,GIN2,HXK1"	"hexokinase 1"	"LOC_Os01g09460.1"	"hexokinase, putative, expressed"
"Sb03g003200"	"SORBI_3003G035700"	"Sobic.003G035700"	"AT3G16500.1"	"IAA26,PAP1"	"phytochrome-associated protein 1"	"LOC_Os05g09480.1"	"OsIAA16 - Auxin-responsive Aux/IAA gene family member, expressed"
"Sb03g003210"	"SORBI_3003G035900"	"Sobic.003G035900"	"AT3G21360.1"	""	"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"	"LOC_Os01g09430.1"	"expressed protein"
"Sb03g003220"	"SORBI_3003G036000"	"Sobic.003G036000"	"AT1G79750.1"	"ATNADP-ME4,NADP-ME4"	"NADP-malic enzyme 4"	"LOC_Os01g09320.1"	"NADP-dependent malic enzyme, chloroplast precursor, putative, expressed"
"Sb03g003220"	"SORBI_3003G036000"	"Sobic.003G036000"	"AT5G25880.1"	"ATNADP-ME3,NADP-ME3"	"NADP-malic enzyme 3"	"LOC_Os01g09320.1"	"NADP-dependent malic enzyme, chloroplast precursor, putative, expressed"
"Sb03g003230"	"SORBI_3003G036200"	"Sobic.003G036200"	"AT1G79750.1"	"ATNADP-ME4,NADP-ME4"	"NADP-malic enzyme 4"	"LOC_Os01g09320.1"	"NADP-dependent malic enzyme, chloroplast precursor, putative, expressed"
"Sb03g003260"	"SORBI_3003G036500"	"Sobic.003G036500"	"AT1G15140.1"	""	"FAD/NAD(P)-binding oxidoreductase"	"LOC_Os01g03050.1"	"fruit protein PKIWI502, putative, expressed"
"Sb03g003270"	"SORBI_3003G036600"	"Sobic.003G036600"	"AT5G47390.1"	""	"myb-like transcription factor family protein"	"LOC_Os01g09280.1"	"myb-related transcription activator, putative, expressed"
"Sb03g003280"	"SORBI_3003G036700"	"Sobic.003G036700"	"AT4G29740.2"	"ATCKX4,CKX4"	"cytokinin oxidase 4"	"LOC_Os01g09260.1"	"cytokinin dehydrogenase precursor, putative, expressed"
"Sb03g003340"	"SORBI_3003G037200"	"Sobic.003G037200"	"AT5G03610.1"	""	"GDSL-like Lipase/Acylhydrolase superfamily protein"	"LOC_Os09g39430.1"	"GDSL-like lipase/acylhydrolase, putative, expressed"
"Sb03g003360"	"SORBI_3003G037400"	"Sobic.003G037400"	"AT5G26170.1"	"ATWRKY50,WRKY50"	"WRKY DNA-binding protein 50"	"LOC_Os01g09100.1"	"WRKY10, expressed"
"Sb03g003360"	"SORBI_3003G037400"	"Sobic.003G037400"	"AT5G64810.1"	"ATWRKY51,WRKY51"	"WRKY DNA-binding protein 51"	"LOC_Os01g09100.1"	"WRKY10, expressed"
"Sb03g003375"	"SORBI_3003G037600"	"Sobic.003G037600"	"AT5G39890.1"	""	"Protein of unknown function (DUF1637)"	"LOC_Os01g09030.1"	"2-aminoethanethiol dioxygenase, putative, expressed"
"Sb03g003390"	"SORBI_3003G037800"	"Sobic.003G037800"	"AT3G62160.1"	""	"HXXXD-type acyl-transferase family protein"	"LOC_Os01g09010.1"	"transferase family protein, putative, expressed"
"Sb03g003410"	"SORBI_3003G038000"	"Sobic.003G038000"	"AT1G06800.1"	"PLA-I{gamma}1"	"alpha/beta-Hydrolases superfamily protein"	"LOC_Os05g32380.1"	"phospholipase, putative, expressed"
"Sb03g003440"	"SORBI_3003G038400"	"Sobic.003G038400"	"AT1G27000.1"	""	"Protein of unknown function (DUF1664)"	"LOC_Os05g08980.3"	"expressed protein"
"Sb03g003440"	"SORBI_3003G038400"	"Sobic.003G038400"	"AT1G27000.1"	""	"Protein of unknown function (DUF1664)"	"LOC_Os05g08980.2"	"expressed protein"
"Sb03g003470"	"SORBI_3003G038700"	"Sobic.003G038700"	"AT4G10850.1"	""	"Nodulin MtN3 family protein"	"LOC_Os02g19820.1"	"nodulin MtN3 family protein, putative, expressed"
"Sb03g003500"	"SORBI_3003G039100"	"Sobic.003G039100"	"AT1G71780.1"	""	""	"LOC_Os01g08950.1"	"expressed protein"
"Sb03g003530"	"SORBI_3003G039400"	"Sobic.003G039400"	"AT5G12020.1"	"HSP17.6II"	"17.6 kDa class II heat shock protein"	"LOC_Os01g08860.1"	"hsp20/alpha crystallin family protein, putative, expressed"
"Sb03g003560"	"SORBI_3003G039900"	"Sobic.003G039900"	"AT2G05970.1"	""	"F-box family protein with a domain of unknown function (DUF295)"	"LOC_Os01g08830.1"	"OsFBDUF1 - F-box and DUF domain containing protein, expressed"
"Sb03g003580"	"SORBI_3003G040100"	"Sobic.003G040100"	"AT3G14740.2"	""	"RING/FYVE/PHD zinc finger superfamily protein"	"LOC_Os09g04890.1"	"histone-lysine N-methyltransferase, H3 lysine-4 specific ATX1, putative, expressed"
"Sb03g003590"	"SORBI_3003G040300"	"Sobic.003G040300"	"AT4G39490.1"	"CYP96A10"	"cytochrome P450, family 96, subfamily A, polypeptide 10"	"LOC_Os01g08810.1"	"cytochrome P450, putative, expressed"
"Sb03g003600"	"SORBI_3003G040400"	"Sobic.003G040400"	"AT2G21910.1"	"CYP96A5"	"cytochrome P450, family 96, subfamily A, polypeptide 5"	"LOC_Os01g08800.1"	"cytochrome P450, putative, expressed"
"Sb03g003610"	"SORBI_3003G040500"	"Sobic.003G040500"	"AT5G43250.1"	"NF-YC13"	"nuclear factor Y, subunit C13"	"LOC_Os01g08790.1"	"histone-like transcription factor and archaeal histone, putative, expressed"
"Sb03g003620"	"SORBI_3003G040600"	"Sobic.003G040600"	"AT1G71710.1"	""	"DNAse I-like superfamily protein"	"LOC_Os01g08780.1"	"endonuclease/exonuclease/phosphatase family domain containing protein, expressed"
"Sb03g003630"	"SORBI_3003G040700"	"Sobic.003G040700"	"AT1G74320.1"	""	"Protein kinase superfamily protein"	"LOC_Os01g08760.1"	"choline/ethanolamine kinase, putative, expressed"
"Sb03g003640"	"SORBI_3003G040800"	"Sobic.003G040800"	"AT4G39410.1"	"ATWRKY13,WRKY13"	"WRKY DNA-binding protein 13"	"LOC_Os01g08710.1"	"WRKY102, expressed"
"Sb03g003650"	"SORBI_3003G040900"	"Sobic.003G040900"	"AT1G22770.1"	"FB,GI"	"gigantea protein (GI)"	"LOC_Os01g08700.4"	"GIGANTEA, putative, expressed"
"Sb03g003650"	"SORBI_3003G040900"	"Sobic.003G040900"	"AT1G22770.1"	"FB,GI"	"gigantea protein (GI)"	"LOC_Os01g08700.8"	"GIGANTEA, putative, expressed"
"Sb03g003650"	"SORBI_3003G040900"	"Sobic.003G040900"	"AT1G22770.1"	"FB,GI"	"gigantea protein (GI)"	"LOC_Os01g08700.6"	"GIGANTEA, putative, expressed"
"Sb03g003675"	"SORBI_3003G041200"	"Sobic.003G041200"	"AT2G25735.1"	""	""	"LOC_Os01g08670.1"	"expressed protein"
"Sb03g003690"	"SORBI_3003G041500"	"Sobic.003G041500"	"AT5G14050.1"	""	"Transducin/WD40 repeat-like superfamily protein"	"LOC_Os07g41190.1"	"WD domain, G-beta repeat domain containing protein, expressed"
"Sb03g003700"	"SORBI_3003G041700"	"Sobic.003G041700"	"AT3G24495.1"	"ATMSH7,MSH6-2,MSH7"	"MUTS homolog 7"	"LOC_Os01g08540.1"	"DNA mismatch repair protein MSH6-2, putative, expressed"
"Sb03g003730"	"SORBI_3003G042200"	"Sobic.003G042200"	"AT4G13340.1"	""	"Leucine-rich repeat (LRR) family protein"	"LOC_Os01g08470.1"	"retrotransposon protein, putative, unclassified, expressed"
"Sb03g003750"	"SORBI_3003G042700"	"Sobic.003G042700"	"AT3G24460.1"	""	"Serinc-domain containing serine and sphingolipid biosynthesis protein"	"LOC_Os01g08460.1"	"TMS membrane protein/tumour differentially expressed protein, putative, expressed"
"Sb03g003760"	"SORBI_3003G042900"	"Sobic.003G042900"	"AT4G15550.1"	"IAGLU"	"indole-3-acetate beta-D-glucosyltransferase"	"LOC_Os01g08440.1"	"UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed"
"Sb03g003800"	"SORBI_3003G043200"	"Sobic.003G043200"	"AT2G25660.1"	"emb2410"	"embryo defective 2410"	"LOC_Os01g08420.1"	"EMB2410, putative, expressed"
"Sb03g003830"	"SORBI_3003G043600"	"Sobic.003G043600"	"AT3G62160.1"	""	"HXXXD-type acyl-transferase family protein"	"LOC_Os01g08380.1"	"transferase family protein, putative, expressed"
"Sb03g003840"	"SORBI_3003G043700"	"Sobic.003G043700"	"AT3G05800.1"	"AIF1"	"AtBS1(activation-tagged BRI1 suppressor 1)-interacting factor 1"	"LOC_Os01g14110.1"	"expressed protein"
"Sb03g003850"	"SORBI_3003G043800"	"Sobic.003G043800"	"AT5G54860.1"	""	"Major facilitator superfamily protein"	"LOC_Os01g14100.1"	"BT1 family protein, putative, expressed"
"Sb03g003856"	"SORBI_3003G043900"	"Sobic.003G043900"	"AT3G10310.1"	""	"P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain"	"LOC_Os11g44880.1"	"kinesin-4, putative, expressed"
"Sb03g003860"	"SORBI_3003G044000"	"Sobic.003G044000"	"AT5G50890.1"	""	"alpha/beta-Hydrolases superfamily protein"	"LOC_Os01g14080.1"	"lipase class 3 family protein, putative, expressed"
"Sb03g003870"	"SORBI_3003G044100"	"Sobic.003G044100"	"AT1G17080.1"	""	"Ribosomal protein L18ae family"	"LOC_Os01g14070.1"	"60S ribosomal protein L18a-1, putative, expressed"
"Sb03g003890"	"SORBI_3003G044300"	"Sobic.003G044300"	"AT4G18460.1"	""	"D-Tyr-tRNA(Tyr) deacylase family protein"	"LOC_Os01g14040.1"	"D-tyrosyl-tRNA, putative, expressed"
"Sb03g003900"	"SORBI_3003G044400"	"Sobic.003G044400"	"AT4G30220.1"	"RUXF"	"small nuclear ribonucleoprotein F"	"LOC_Os11g43620.1"	"LSM domain containing protein, expressed"
"Sb03g003920"	"SORBI_3003G044700"	"Sobic.003G044700"	"AT1G80400.1"	""	"RING/U-box superfamily protein"	"LOC_Os01g08340.1"	"zinc finger family protein, putative, expressed"
"Sb03g003930"	"SORBI_3003G044800"	"Sobic.003G044800"	"AT1G64830.1"	""	"Eukaryotic aspartyl protease family protein"	"LOC_Os01g08330.1"	"aspartic proteinase nepenthesin-1 precursor, putative, expressed"
"Sb03g003950"	"SORBI_3003G045000"	"Sobic.003G045000"	"AT5G25510.1"	""	"Protein phosphatase 2A regulatory B subunit family protein"	"LOC_Os05g08560.1"	"transposon protein, putative, unclassified, expressed"
"Sb03g004000"	"SORBI_3003G045600"	"Sobic.003G045600"	"AT1G80360.1"	""	"Pyridoxal phosphate (PLP)-dependent transferases superfamily protein"	"LOC_Os01g08270.1"	"aminotransferase, classes I and II, domain containing protein, expressed"
"Sb03g004010"	"SORBI_3003G045700"	"Sobic.003G045700"	"AT2G26910.1"	"ATPDR4,PDR4"	"pleiotropic drug resistance 4"	"LOC_Os01g42410.1"	"pleiotropic drug resistance protein, putative, expressed"
"Sb03g004020"	"SORBI_3003G045900"	"Sobic.003G045900"	"AT1G15550.1"	"ATGA3OX1,GA3OX1,GA4"	"gibberellin 3-oxidase 1"	"LOC_Os01g08220.1"	"gibberellin 3-beta-dioxygenase 2-2, putative, expressed"
"Sb03g004080"	"SORBI_3003G046700"	"Sobic.003G046700"	"AT1G52780.1"	""	"Protein of unknown function (DUF2921)"	"LOC_Os01g08170.1"	"expressed protein"
"Sb03g004090"	"SORBI_3003G046800"	"Sobic.003G046800"	"AT2G03500.1"	""	"Homeodomain-like superfamily protein"	"LOC_Os01g08160.1"	"MYB family transcription factor, putative, expressed"
"Sb03g004110"	"SORBI_3003G047200"	"Sobic.003G047200"	"AT3G15550.1"	""	""	"LOC_Os01g08150.1"	"expressed protein"
"Sb03g004120"	"SORBI_3003G047300"	"Sobic.003G047300"	"AT1G52770.1"	""	"Phototropic-responsive NPH3 family protein"	"LOC_Os05g08530.1"	"phototropic-responsive NPH3 family protein, putative, expressed"
"Sb03g004125"	"SORBI_3003G047400"	"Sobic.003G047400"	"AT2G29760.1"	"OTP81"	"Tetratricopeptide repeat (TPR)-like superfamily protein"	"LOC_Os01g08120.1"	"pentatricopeptide, putative, expressed"
"Sb03g004150"	"SORBI_3003G047700"	"Sobic.003G047700"	"AT2G36800.1"	"DOGT1,UGT73C5"	"don-glucosyltransferase 1"	"LOC_Os10g09990.1"	"cytokinin-O-glucosyltransferase 3, putative, expressed"
"Sb03g004160"	"SORBI_3003G047800"	"Sobic.003G047800"	"AT2G36800.1"	"DOGT1,UGT73C5"	"don-glucosyltransferase 1"	"LOC_Os10g09990.1"	"cytokinin-O-glucosyltransferase 3, putative, expressed"
"Sb03g004180"	"SORBI_3003G047900"	"Sobic.003G047900"	"AT1G15460.1"	"ATBOR4,BOR4"	"HCO3- transporter family"	"LOC_Os01g08020.1"	"boron transporter protein, putative, expressed"
"Sb03g004190"	"SORBI_3003G048000"	"Sobic.003G048000"	"AT1G52720.1"	""	""	"LOC_Os01g07970.1"	"expressed protein"
"Sb03g004210"	"SORBI_3003G048200"	"Sobic.003G048200"	"AT2G26710.1"	"BAS1,CYP72B1,CYP734A1"	"Cytochrome P450 superfamily protein"	"LOC_Os01g29150.1"	"cytochrome P450 72A1, putative, expressed"
"Sb03g004230"	"SORBI_3003G048600"	"Sobic.003G048600"	"AT3G15660.2"	"ATGRX4,GRX4"	"glutaredoxin 4"	"LOC_Os01g34620.9"	"OsGrx_S15.1 - glutaredoxin subgroup II, expressed"
"Sb03g004240"	"SORBI_3003G048700"	"Sobic.003G048700"	"AT2G26700.1"	"PID2"	"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein"	"LOC_Os01g07940.1"	"AGC_PVPK_like_kin82y.3 - ACG kinases include homologs to PKA, PKG and PKC, expressed"
"Sb03g004260"	"SORBI_3003G049000"	"Sobic.003G049000"	"AT2G35430.1"	""	"Zinc finger C-x8-C-x5-C-x3-H type family protein"	"LOC_Os01g07930.1"	"zinc finger C-x8-C-x5-C-x3-H type family protein, expressed"
"Sb03g004265"	"SORBI_3003G049100"	"Sobic.003G049100"	"AT3G28480.1"	""	"Oxoglutarate/iron-dependent oxygenase"	"LOC_Os01g07920.1"	"prolyl 4-hydroxylase, putative, expressed"
"Sb03g004270"	"SORBI_3003G049200"	"Sobic.003G049200"	"AT5G20080.1"	""	"FAD/NAD(P)-binding oxidoreductase"	"LOC_Os01g07910.1"	"NADH-cytochrome b5 reductase, putative, expressed"
"Sb03g004280"	"SORBI_3003G049300"	"Sobic.003G049300"	"AT1G15400.3"	""	""	"LOC_Os01g07890.1"	"expressed protein"
"Sb03g004290"	"SORBI_3003G049400"	"Sobic.003G049400"	"AT5G11260.1"	"HY5,TED 5"	"Basic-leucine zipper (bZIP) transcription factor family protein"	"LOC_Os01g07880.1"	"transcription factor HY5, putative, expressed"
"Sb03g004330"	"SORBI_3003G049700"	"Sobic.003G049700"	"AT1G80160.1"	""	"Lactoylglutathione lyase / glyoxalase I family protein"	"LOC_Os05g07940.1"	"glyoxalase family protein, putative, expressed"
"Sb03g004350"	"SORBI_3003G050000"	"Sobic.003G050000"	"AT1G52590.1"	""	"Putative thiol-disulphide oxidoreductase DCC"	"LOC_Os01g07800.2"	"thiol-disulphide oxidoreductase DCC, putative, expressed"
"Sb03g004360"	"SORBI_3003G050100"	"Sobic.003G050100"	"AT1G05650.1"	""	"Pectin lyase-like superfamily protein"	"LOC_Os01g07790.1"	"polygalacturonase, putative, expressed"
"Sb03g004370"	"SORBI_3003G050200"	"Sobic.003G050200"	"AT2G41475.1"	""	"Embryo-specific protein 3, (ATS3)"	"LOC_Os01g07780.1"	"embryo-specific 3, putative, expressed"
"Sb03g004380"	"SORBI_3003G050300"	"Sobic.003G050300"	"AT2G41480.1"	""	"Peroxidase superfamily protein"	"LOC_Os01g07770.1"	"peroxidase precursor, putative, expressed"
"Sb03g004390"	"SORBI_3003G050400"	"Sobic.003G050400"	"AT3G15730.1"	"PLD,PLDALPHA1"	"phospholipase D alpha 1"	"LOC_Os01g07760.2"	"phospholipase D, putative, expressed"
"Sb03g004430"	"SORBI_3003G050800"	"Sobic.003G050800"	"AT5G33320.1"	"ARAPPT,CUE1,PPT"	"Glucose-6-phosphate/phosphate translocator-related"	"LOC_Os01g07730.1"	"phosphate/phosphoenolpyruvate translocator-related protein, putative, expressed"
"Sb03g004445"	"SORBI_3003G051000"	"Sobic.003G051000"	"AT5G62960.1"	""	""	"LOC_Os01g07700.1"	"expressed protein"
"Sb03g004450"	"SORBI_3003G051100"	"Sobic.003G051100"	"AT1G60800.1"	"NIK3"	"NSP-interacting kinase 3"	"LOC_Os01g07630.1"	"BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed"
"Sb03g004490"	"SORBI_3003G051600"	"Sobic.003G051600"	"AT3G17020.1"	""	"Adenine nucleotide alpha hydrolases-like superfamily protein"	"LOC_Os01g07590.1"	"universal stress protein domain containing protein, putative, expressed"
"Sb03g004510"	"SORBI_3003G052000"	"Sobic.003G052000"	"AT5G50150.1"	""	"Protein of Unknown Function (DUF239)"	"LOC_Os01g07570.1"	"carboxyl-terminal proteinase, putative, expressed"
"Sb03g004530"	"SORBI_3003G052200"	"Sobic.003G052200"	"AT4G34140.2"	""	"D111/G-patch domain-containing protein"	"LOC_Os01g07540.1"	"G-patch domain containing protein, expressed"
"Sb03g004540"	"SORBI_3003G052300"	"Sobic.003G052300"	"AT5G40390.1"	"SIP1"	"Raffinose synthase family protein"	"LOC_Os01g07530.1"	"uncharacterized glycosyltransferase, putative, expressed"
"Sb03g004560"	"SORBI_3003G052500"	"Sobic.003G052500"	"AT4G12800.1"	"PSAL"	"photosystem I subunit l"	"LOC_Os12g23200.1"	"photosystem I reaction center subunit XI, chloroplast precursor, putative, expressed"
"Sb03g004570"	"SORBI_3003G052700"	"Sobic.003G052700"	"AT4G24670.2"	"TAR2"	"tryptophan aminotransferase related 2"	"LOC_Os01g07500.1"	"alliin lyase precursor, putative, expressed"
"Sb03g004590"	"SORBI_3003G052900"	"Sobic.003G052900"	"AT5G63090.2"	"LOB"	"Lateral organ boundaries (LOB) domain family protein"	"LOC_Os01g07480.1"	"DUF260 domain containing protein, putative, expressed"
"Sb03g004610"	"SORBI_3003G053400"	"Sobic.003G053400"	"AT5G21950.1"	""	"alpha/beta-Hydrolases superfamily protein"	"LOC_Os01g07420.1"	"hydrolase, alpha/beta fold family protein, putative, expressed"
"Sb03g004620"	"SORBI_3003G053500"	"Sobic.003G053500"	"AT5G21950.1"	""	"alpha/beta-Hydrolases superfamily protein"	"LOC_Os01g07420.1"	"hydrolase, alpha/beta fold family protein, putative, expressed"
"Sb03g004680"	"SORBI_3003G054400"	"Sobic.003G054400"	"AT5G58320.2"	""	"Kinase interacting (KIP1-like) family protein"	"LOC_Os01g07370.2"	"KIP1, putative, expressed"
"Sb03g004690"	"SORBI_3003G054500"	"Sobic.003G054500"	""	""	""	"LOC_Os09g21330.1"	"expressed protein"
"Sb03g004700"	"SORBI_3003G054800"	"Sobic.003G054800"	""	""	""	"LOC_Os09g21330.1"	"expressed protein"
"Sb03g004710"	"SORBI_3003G054900"	"Sobic.003G054900"	"AT2G30500.1"	""	"Kinase interacting (KIP1-like) family protein"	"LOC_Os01g07360.3"	"KIP1, putative, expressed"
"Sb03g004720"	"SORBI_3003G055000"	"Sobic.003G055000"	"AT5G66631.1"	""	"Tetratricopeptide repeat (TPR)-like superfamily protein"	"LOC_Os01g07340.1"	"pentatricopeptide, putative, expressed"
"Sb03g004730"	"SORBI_3003G055300"	"Sobic.003G055300"	"AT2G06520.1"	"PSBX"	"photosystem II subunit X"	"LOC_Os07g47640.1"	"ultraviolet-B-repressible protein, putative, expressed"
"Sb03g004740"	"SORBI_3003G055400"	"Sobic.003G055400"	""	""	""	"LOC_Os01g07320.1"	"expressed protein"
"Sb03g004750"	"SORBI_3003G055500"	"Sobic.003G055500"	"AT1G06890.2"	""	"nodulin MtN21 /EamA-like transporter family protein"	"LOC_Os01g07310.1"	"transporter-related, putative, expressed"
